Date,Rating,Title,Content,Pros,Cons
2022-09-20,3,"Getting betterMechanic (Current Employee) - Kent, WA - September 20, 2022Its not bad.",The new local management has improved a great deal in the last couple years.  The company itself is no worse than any other billion dollar company.  They want to make money.,,
2022-09-20,4,Safe and good payMaintainer (Current Employee) - Ft.,"Atkinson, WI - September 20, 2022They are a very safe company to work for. They are constantly improving on a safer work environment. The pay there is outstanding. Very easy for a mechanically inclined person ( male or female) to make a six figure yearly income. But the hours can be very long with 12 hr shifts.",,
2022-09-19,2,"not a good place production tech (Current Employee) -  st paul - September 19, 2022no room for advancement.","only care about making cans, and not people. lots of favorites and not accepting of new people. plant is now closing so people are less willing to work.",,
2022-09-13,3,"Great pay horrible benefits and poor managementIndustrial Electrical Technician (Current Employee) - Virginia - September 13, 2022This company appears to pay well until you see that you have limited Holidays and the ones that you do get you are usually working.",Management looks at their employees as if they are less than human and tries to work everyone into an early grave. Gone are the days of a company that takes care of their employees.,,
2022-09-12,1,Very hard to stay if you are a family person.,"Production Technician (Former Employee) - Pittston, PA - September 12, 2022Ball has a very strict, very hard to keep point system. Right now it is very hard to plan anything on your days off because of the constant OT mandates. The health insurance is sub par compared to other employers. The ventilation system is not the greatest so you will be working in very hot conditions during the summer. All PTs must buy their own tools. The only plus I see working for them was the hourly rate and that's it.",,
2022-08-29,5,Great place to work.,"Lots of overtime opportunity.Mantenance tech /production technician (Former Employee) - Kent, WA - August 29, 2022Fast-paced. Great company to expand your knowledge and growth. Lots of room for advancement plenty of opportunities for career growth. Great training , lots of overtime . Safety culture team building. Management and leads work closely together to reach highest production goals possible.",Great safety culture,Short staffed excess overtime mandatory
2022-08-27,4,"Good pay and benefitsProduction Worker (Current Employee) - Pittston, PA - August 27, 2022The pay and benefits are good.",The 3 on 3 off schedule is good for some people.  Depending on which crew you are on you will have good training and teamwork.  Most employees are helpful.   A little understaffed causing some mandatory overtime.  A 12 hour day is tough for overtime.   A good amount of starting vacation time.,,
2022-08-23,3,"Great Place to work, but layoff happenedPlant Admin Coordinator  (Current Employee) - Phoenix, AZ - August 23, 2022Very busy, very fast paced.","You can definitely get overwhelmed if you can’t keep up. Pay is very good and above the industry standard. Hours can get a little crazy. Unfortunately, our plant is closing and everyone is being let go.",,
2022-08-22,3,"Was good, now not so muchSupervisor (Current Employee) - Saint Paul, MN - August 22, 2022Great place until the announcement of plant closure.",Constantly busy with lots of challenges. Leadership team really cares about the performance of the plant.,,
2022-07-28,2,"Apply at your own riskProduction Technician (Former Employee) - Golden, CO - July 28, 2022Place pays great.",However work environment is cut throat management lies all the time and are starting to lay off people in the golden plant in CO. Some employees are absolutely lazy and do not work at all while management does the same and not help as well! horrible place to work! yea your making Great money working 12 hours 4 days but the people you spend it with are truly sick and miserable. Management doesn’t care for their employees places is always understaff because the people who are in management are incompetent. If people are constantly leaving maybe management is the problem their too stupid too comprehend.,Great pay,Everything else.
2022-07-20,3,Startup plant.,"Needs improvement. Production Technician (Current Employee) - Pittston, PA - July 20, 2022There is too much mandated overtime. Not enough workers. Way under staffed and seem to keep a higher turnover rate.  There seems to be 2 crews that work well as a team and have almost a family mentality where the leads and supervisors will come out on the floor and help.. while the other 2 crews don't have that and try to ""rule over"" their workers with an iron fist and threats. Being threatened about write ups for something instead of getting positive reinforcement as to how to fix the opportunity to decrease the odds of it happening again... Forklift drivers complain about getting paid less than ""machine operators"". But also are really only moving and loading pallets in the warehouse or on trucks. Or filling the palletizer pallrts and top frames.  Stressful sure. But not as stressful as running the machines, fixing broken parts of machines, and continuing to meet your production goals with all the extra headaches of things breaking and putting a bandaid on it. Or losing time and productivity to dive in and fix an issue with upper management looming over you trying to get more cans and make some records.  Super hot in the plant. Don't always get your breaks. Not enough workers.",,
